School Name,Total Absences,1-5 Absences,6-10 Absences,11-20 Absences,21+ Absences
Aiton ES,190,58,61,45,21
Amidon-Bowen ES,279,132,87,38,10
Anacostia HS,345,20,29,68,221
Ballou HS,682,26,40,94,518
Ballou STAY,167,n<10,n<10,10,147
Bancroft ES,479,268,52,10,n<10
Barnard ES,532,333,49,18,11
Beers ES,422,233,95,32,n<10
Benjamin Banneker HS,482,294,72,22,n<10
Brent ES,369,229,29,n<10,n<10
Brightwood EC,720,399,150,62,27
Brookland MS,311,175,59,30,16
Browne EC,343,131,98,60,30
Bruce-Monroe ES @ Park View,380,230,38,17,n<10
Bunker Hill ES,191,101,40,19,n<10
Burroughs ES,209,87,68,24,15
Burrville ES,217,79,81,35,15
C.W. Harris ES,206,76,58,44,17
Cap Hill Montessori @ Logan 259,259,147,47,24,12
Cardozo EC,717,95,95,153,364
CHOICE Academy @ Washington Met,n<10,n<10,n<10,n<10,n<10
Cleveland ES,241,123,48,30,n<10
Columbia Heights EC (CHEC),1304,418,257,281,245
Coolidge HS,330,61,47,63,143
Deal MS,1547,1026,132,46,22
Dorothy I. Height ES,342,183,72,35,n<10
Drew ES,220,95,59,38,20
Dunbar HS,718,27,43,135,508
Eastern HS,776,59,86,170,458
Eaton ES,456,260,23,n<10,n<10
Eliot-Hine MS,265,72,48,67,69
Ellington School of the Arts,567,112,142,147,159
Excel Academy,406,88,114,115,80
Garfield ES,274,112,99,22,25
Garrison ES,217,113,32,18 n<10,
H.D. Cooke ES,330,162,67,53,17
Hardy MS,476,301,42,10,n<10
Hart MS,421,169,137,72,31
Hearst ES,303,172,24,n<10,n<10
Hendley HS,365,84,121,104,48
Houston ES,226,100,57,38,18
Hyde-Addison ES,318,167,38,n<10,n<10
J.O. Wilson ES,399,146,108,83,25
Janney ES,687,427,24,n<10,n<10
Jefferson MS Academy,363,112,88,84,62
Johnson John Hayden MS,321,37,72,121,89
Kelly Miller MS,557,89,118,175,171
Ketcham ES,256,57,67,69,44
Key ES,364,203,24,n<10,n<10
Kimball ES,316,185,88,20,n<10
King M.L. ES,270,53,57,86,70
Kramer MS,254,17,31,58,146
Lafayette ES,803,438,11,n<10,n<10
Langdon ES,340,158,91,48,14
Langley ES,232,78,71,48,23
LaSalle-Backus EC,386,183,84,48,24
Lawrence E. Boone ES,345,137,94,69,24
Leckie EC,465,176,127,114,34
Ludlow-Taylor ES,335,222,32,n<10,n<10
Luke Moore Alternative HS,165,n<10,n<10,13,130
MacFarland MS,387,176,71,57,22
Malcolm X ES @ Green,212,81,39,50,39
Mann ES,374,235,17,n<10,n<10
Marie Reed ES,358,196,58,24,n<10
Maury ES,339,196,21,12,n<10
McKinley MS,259,n<10,38,93,118
McKinley Technology HS,631,125,206,220,67
Miner ES,284,126,64,48,25
Moten ES,322,84,80,94,51
Murch ES,579,348,38,n<10,n<10
Nalle ES,313,184,55,30,11
Noyes ES,222,132,38,11,n<10
Oyster-Adams Bilingua,l 686,422,76,n<10,n<10
Patterson ES,353,89,113,76,70
Payne ES,268,109,60,45,38
Peabody ES (Capitol Hill Clus),88,60,n<10,n<10,n<10
Phelps ACE HS,264,43,63,79,75
Plummer ES,293,92,102,59,27
Powell ES,469,294,41,17,n<10
Randle Highlands ES,272,178,58,n<10,n<10
Raymond EC,505,285,134,36,17
River Terrace 72,24,13,12,17,
Ron Brown High School,275,23,44,71,134
Roosevelt High School,697,67,82,138,400
Roosevelt STAY @ MacFarland,189,10,15,11,145
Ross ES,166,94,12,n<10,n<10
Savoy ES,242,38,67,100,35
School Without Walls HS,590,396,34,n<10,0
School-Within School @ Goding,237,145,21,n<10,n<10
Seaton ES,309,168,70,31,n<10
Shepherd ES,324,200,27,12,n<10
Simon ES,233,69,69,65,25
Smothers ES,205,68,68,37,23
Sousa MS,262,61,76,81,40
Stanton ES,424,131,112,97,67
Stoddert ES,466,288,44,n<10,n<10
Stuart-Hobson MS,461,251,102,38,11
SWW @ Francis Stevens,414,235,65,18,n<10
Takoma EC,471,300,46,31,12
Thomas ES,321,76,92,85,57
Thomson ES,263,163,26,n<10,n<10
Truesdell EC,559,270,131,70,26
Tubman ES,526,264,108,60,22
Turner ES,440,72,100,153,108
Tyler ES,403,244,85,11,n<10
Van Ness ES,208,125,31,22,n<10
Walker-Jones EC,379,130,93,91,50
Washington Metropolitan HS,150,n<10,n<10,n<10,130
Watkins ES (Capitol Hill Clus),456,332,57,n<10,n<10
West EC,291,127,74,28,17
Wheatley EC,288,99,93,53,33
Whittier EC,341,156,91,61,18
Wilson HS,1803,694,466,333,266
H.D Woodson HS,514,27,49,107,327
Youth Services Center,118,28,15,n<10,n<10
